level,category,word,kana,romaji,pos,meaning_zh,example,example_zh
N5,數字與量詞,一,いち,ichi,名,一；1,一（いち）から十（じゅう）まで数（かぞ）えます。,從一數到十。
N5,數字與量詞,二,に,ni,名,二；2,二（に）と三（さん）を足（た）します。,把二和三相加。
N5,數字與量詞,三,さん,san,名,三；3,三（さん）は好（す）きな数字（すうじ）です。,三是我喜歡的數字。
N5,數字與量詞,四,よん,yon,名,四；4,答（こた）えは四（よん）です。,答案是四。
N5,數字與量詞,五,ご,go,名,五；5,五（ご）時（じ）に起（お）きます。,五點起床。
N5,數字與量詞,六,ろく,roku,名,六；6,六（ろく）人（にん）で行（い）きます。,六個人一起去。
N5,數字與量詞,七,なな,nana,名,七；7,七（なな）は幸運（こううん）の数（かず）です。,七是幸運的數字。
N5,數字與量詞,八,はち,hachi,名,八；8,八（はち）時（じ）に会（あ）いましょう。,八點見面吧。
N5,數字與量詞,九,きゅう,kyū,名,九；9,九（きゅう）から一（いち）を引（ひ）きます。,九減一。
N5,數字與量詞,十,じゅう,jū,名,十；10,十（じゅう）まで数（かぞ）えてください。,請數到十。
N5,數字與量詞,百,ひゃく,hyaku,名,百；100,これは百（ひゃく）円（えん）です。,這是一百日圓。
N5,數字與量詞,千,せん,sen,名,千；1000,千（せん）円（えん）を払（はら）います。,付一千日圓。
N5,數字與量詞,万,まん,man,名,萬；10000,この本（ほん）は一万（いちまん）円（えん）です。,這本書一萬日圓。
N5,數字與量詞,ゼロ,ゼロ,zero,名,零；0,点数（てんすう）はゼロでした。,分數是零。
N5,數字與量詞,零,れい,rei,名,零；0,気温（きおん）は零（れい）度（ど）です。,氣溫是零度。
N5,數字與量詞,一つ,ひとつ,hitotsu,量,一個,りんごを一（ひと）つください。,請給我一個蘋果。
N5,數字與量詞,二つ,ふたつ,futatsu,量,兩個,みかんを二（ふた）つ買（か）いました。,買了兩個橘子。
N5,數字與量詞,三つ,みっつ,mittsu,量,三個,箱（はこ）が三（みっ）つあります。,有三個箱子。
N5,數字與量詞,四つ,よっつ,yottsu,量,四個,いすが四（よっ）つあります。,有四張椅子。
N5,數字與量詞,五つ,いつつ,itsutsu,量,五個,たまごが五（いつ）つ残（のこ）っています。,剩下五顆蛋。
N5,數字與量詞,六つ,むっつ,muttsu,量,六個,あめを六（むっ）つもらいました。,得到六顆糖。
N5,數字與量詞,七つ,ななつ,nanatsu,量,七個,妹（いもうと）は七（なな）つです。,妹妹七歲。
N5,數字與量詞,八つ,やっつ,yattsu,量,八個,クッキーが八（やっ）つあります。,有八塊餅乾。
N5,數字與量詞,九つ,ここのつ,kokonotsu,量,九個,弟（おとうと）は九（ここの）つです。,弟弟九歲。
N5,數字與量詞,とお,とお,tō,量,十個,りんごが十（とお）あります。,有十個蘋果。
N5,數字與量詞,一人,ひとり,hitori,量,一個人,一人（ひとり）で映画（えいが）を見（み）ます。,一個人看電影。
N5,數字與量詞,二人,ふたり,futari,量,兩個人,二人（ふたり）で公園（こうえん）へ行（い）きます。,兩個人去公園。
N5,數字與量詞,歳,さい,sai,量,〜歲,私（わたし）は十五歳（じゅうごさい）です。,我十五歲。
N5,數字與量詞,二十歳,はたち,hatachi,名,二十歲,兄（あに）は二十歳（はたち）になりました。,哥哥滿二十歲了。
N5,數字與量詞,円,えん,en,量,日圓,この本（ほん）は五百円（ごひゃくえん）です。,這本書五百日圓。
N5,數字與量詞,番,ばん,ban,量,〜號,三番（さんばん）の人（ひと）は誰（だれ）ですか。,三號的人是誰？
N5,數字與量詞,回,かい,kai,量,〜次,一回（いっかい）だけ会（あ）いました。,只見過一次。
N5,數字與量詞,階,かい,kai,量,〜樓,本屋（ほんや）は三階（さんがい）にあります。,書店在三樓。
N5,數字與量詞,個,こ,ko,量,〜個,たまごを六個（ろっこ）買（か）いました。,買了六個蛋。
N5,數字與量詞,枚,まい,mai,量,〜張（薄物）,切手（きって）を二枚（にまい）ください。,請給我兩張郵票。
N5,數字與量詞,台,だい,dai,量,〜台（機器車輛）,車（くるま）が三台（さんだい）あります。,有三輛車。
N5,數字與量詞,冊,さつ,satsu,量,〜本（書冊）,本（ほん）を五冊（ごさつ）借（か）りました。,借了五本書。
N5,數字與量詞,本,ほん,hon,量,〜支（細長物）,ペンが二本（にほん）あります。,有兩支筆。
N5,數字與量詞,杯,はい,hai,量,〜杯,コーヒーを一杯（いっぱい）飲（の）みます。,喝一杯咖啡。
N5,數字與量詞,匹,ひき,hiki,量,〜隻（小動物）,犬（いぬ）が三匹（さんびき）います。,有三隻狗。
N5,數字與量詞,半分,はんぶん,hanbun,名,一半,りんごを半分（はんぶん）に切（き）ります。,把蘋果切成一半。
N5,數字與量詞,全部,ぜんぶ,zenbu,名,全部；全都,宿題（しゅくだい）は全部（ぜんぶ）終（お）わりました。,作業全部做完了。
N5,數字與量詞,番号,ばんごう,bangō,名,號碼,電話番号（でんわばんごう）を教（おし）えてください。,請告訴我電話號碼。
N5,數字與量詞,いくら,いくら,ikura,疑,多少錢,このかばんはいくらですか。,這個包包多少錢？
N5,數字與量詞,いくつ,いくつ,ikutsu,疑,幾個；幾歲,みかんはいくつありますか。,橘子有幾個？
N5,時間與日期,今日,きょう,kyō,名,今天,今日（きょう）はいい天気（てんき）です。,今天天氣很好。
N5,時間與日期,明日,あした,ashita,名,明天,明日（あした）学校（がっこう）へ行（い）きます。,明天去學校。
N5,時間與日期,昨日,きのう,kinō,名,昨天,昨日（きのう）映画（えいが）を見（み）ました。,昨天看了電影。
N5,時間與日期,おととい,おととい,ototoi,名,前天,おとといは日曜日（にちようび）でした。,前天是星期日。
N5,時間與日期,あさって,あさって,asatte,名,後天,あさって試験（しけん）があります。,後天有考試。
N5,時間與日期,今,いま,ima,名,現在,今（いま）何時（なんじ）ですか。,現在幾點？
N5,時間與日期,今朝,けさ,kesa,名,今天早上,今朝（けさ）はパンを食（た）べました。,今天早上吃了麵包。
N5,時間與日期,今晩,こんばん,konban,名,今晚,今晩（こんばん）友達（ともだち）に会（あ）います。,今晚要見朋友。
N5,時間與日期,毎日,まいにち,mainichi,名,每天,毎日（まいにち）日本語（にほんご）を勉強（べんきょう）します。,每天學日語。
N5,時間與日期,毎朝,まいあさ,maiasa,名,每天早上,毎朝（まいあさ）コーヒーを飲（の）みます。,每天早上喝咖啡。
N5,時間與日期,毎晩,まいばん,maiban,名,每晚,毎晩（まいばん）本（ほん）を読（よ）みます。,每晚讀書。
N5,時間與日期,毎週,まいしゅう,maishū,名,每週,毎週（まいしゅう）テニスをします。,每週打網球。
N5,時間與日期,毎月,まいつき,maitsuki,名,每月,毎月（まいつき）雑誌（ざっし）を買（か）います。,每個月買雜誌。
N5,時間與日期,毎年,まいとし,maitoshi,名,每年,毎年（まいとし）海（うみ）へ行（い）きます。,每年去海邊。
N5,時間與日期,朝,あさ,asa,名,早上,朝（あさ）六時（ろくじ）に起（お）きます。,早上六點起床。
N5,時間與日期,昼,ひる,hiru,名,中午；白天,昼（ひる）ご飯（はん）を食（た）べます。,吃午飯。
N5,時間與日期,夜,よる,yoru,名,夜晚,夜（よる）は静（しず）かです。,夜晚很安靜。
N5,時間與日期,晩,ばん,ban,名,晚上,晩（ばん）ご飯（はん）は魚（さかな）です。,晚飯是魚。
N5,時間與日期,夕方,ゆうがた,yūgata,名,傍晚,夕方（ゆうがた）散歩（さんぽ）します。,傍晚散步。
N5,時間與日期,午前,ごぜん,gozen,名,上午,午前（ごぜん）九時（くじ）に始（はじ）まります。,上午九點開始。
N5,時間與日期,午後,ごご,gogo,名,下午,午後（ごご）は暇（ひま）です。,下午有空。
N5,時間與日期,時間,じかん,jikan,名,時間,時間（じかん）がありません。,沒有時間。
N5,時間與日期,時,じ,ji,量,〜點鐘,三時（さんじ）に会（あ）いましょう。,三點見面吧。
N5,時間與日期,分,ふん,fun,量,〜分鐘,あと十分（じゅっぷん）待（ま）ちます。,再等十分鐘。
N5,時間與日期,半,はん,han,量,〜半,今（いま）七時半（しちじはん）です。,現在七點半。
N5,時間與日期,週,しゅう,shū,名,週,一週間（いっしゅうかん）休（やす）みます。,休息一週。
N5,時間與日期,今週,こんしゅう,konshū,名,這週,今週（こんしゅう）は忙（いそが）しいです。,這週很忙。
N5,時間與日期,先週,せんしゅう,senshū,名,上週,先週（せんしゅう）京都（きょうと）へ行（い）きました。,上週去了京都。
N5,時間與日期,来週,らいしゅう,raishū,名,下週,来週（らいしゅう）試験（しけん）があります。,下週有考試。
N5,時間與日期,月,つき,tsuki,名,月；月亮,月（つき）がきれいです。,月亮很美。
N5,時間與日期,今月,こんげつ,kongetsu,名,這個月,今月（こんげつ）は雨（あめ）が多（おお）いです。,這個月雨很多。
N5,時間與日期,先月,せんげつ,sengetsu,名,上個月,先月（せんげつ）日本（にほん）へ行（い）きました。,上個月去了日本。
N5,時間與日期,来月,らいげつ,raigetsu,名,下個月,来月（らいげつ）引（ひ）っ越（こ）します。,下個月搬家。
N5,時間與日期,年,とし,toshi,名,年,今年（ことし）はいい年（とし）です。,今年是好的一年。
N5,時間與日期,今年,ことし,kotoshi,名,今年,今年（ことし）二十歳（はたち）になります。,今年滿二十歲。
N5,時間與日期,去年,きょねん,kyonen,名,去年,去年（きょねん）結婚（けっこん）しました。,去年結婚了。
N5,時間與日期,来年,らいねん,rainen,名,明年,来年（らいねん）大学（だいがく）に入（はい）ります。,明年上大學。
N5,時間與日期,月曜日,げつようび,getsuyōbi,名,星期一,月曜日（げつようび）に会議（かいぎ）があります。,星期一有會議。
N5,時間與日期,火曜日,かようび,kayōbi,名,星期二,火曜日（かようび）は忙（いそが）しいです。,星期二很忙。
N5,時間與日期,水曜日,すいようび,suiyōbi,名,星期三,水曜日（すいようび）に病院（びょういん）へ行（い）きます。,星期三去醫院。
N5,時間與日期,木曜日,もくようび,mokuyōbi,名,星期四,木曜日（もくようび）は休（やす）みです。,星期四休息。
N5,時間與日期,金曜日,きんようび,kin'yōbi,名,星期五,金曜日（きんようび）に映画（えいが）を見（み）ます。,星期五看電影。
N5,時間與日期,土曜日,どようび,doyōbi,名,星期六,土曜日（どようび）に買（か）い物（もの）します。,星期六購物。
N5,時間與日期,日曜日,にちようび,nichiyōbi,名,星期日,日曜日（にちようび）は家（いえ）にいます。,星期日在家。
N5,時間與日期,誕生日,たんじょうび,tanjōbi,名,生日,今日（きょう）は私（わたし）の誕生日（たんじょうび）です。,今天是我的生日。
N5,時間與日期,〜月,がつ,gatsu,量,〜月（月份）,四月（しがつ）に日本（にほん）へ行（い）きます。,四月要去日本。
N5,時間與日期,日,にち,nichi,量,〜日（日期）,今日（きょう）は何日（なんにち）ですか。,今天是幾號？
N5,時間與日期,一日,ついたち,tsuitachi,名,一號（每月）,四月（しがつ）一日（ついたち）に会（あ）いましょう。,四月一號見面吧。
N5,時間與日期,春,はる,haru,名,春天,春（はる）は花（はな）がきれいです。,春天花很美。
N5,時間與日期,夏,なつ,natsu,名,夏天,夏（なつ）は海（うみ）へ行（い）きます。,夏天去海邊。
N5,時間與日期,秋,あき,aki,名,秋天,秋（あき）は涼（すず）しいです。,秋天很涼爽。
N5,時間與日期,冬,ふゆ,fuyu,名,冬天,冬（ふゆ）は雪（ゆき）が降（ふ）ります。,冬天會下雪。
N5,時間與日期,最初,さいしょ,saisho,名,最初；首先,最初（さいしょ）に名前（なまえ）を書（か）きます。,首先寫上名字。
N5,時間與日期,最後,さいご,saigo,名,最後,最後（さいご）まで頑張（がんば）ります。,堅持到最後。
